home,away,home_score,away_score
Orlando City SC,CF Montréal,2,4
Sporting Kansas City,Minnesota United FC,4,0
Austin FC,LAFC,1,2
Portland Timbers,Colorado Rapids,2,2
LA Galaxy,Houston Dynamo FC,1,1
San Jose Earthquakes,Real Salt Lake,3,4
Inter Miami CF,New York Red Bulls,0,4
Atlanta United FC,DC United,3,2
New England Revolution,Columbus Crew,1,1
FC Cincinnati,New York City FC,1,2
Toronto FC,Nashville SC,2,1
Austin FC,San Jose Earthquakes,3,4
Minnesota United FC,LA Galaxy,3,0
Houston Dynamo FC,FC Dallas,3,2
Real Salt Lake,Seattle Sounders FC,1,0
CF Montréal,Chicago Fire FC,2,0
Philadelphia Union,Orlando City SC,3,1
Portland Timbers,LAFC,2,1
Colorado Rapids,Vancouver Whitecaps,1,1
Inter Miami CF,Nashville SC,1,5
Chicago Fire FC,New England Revolution,2,3
New York Red Bulls,New York City FC,1,1
Philadelphia Union,Atlanta United FC,1,0
New England Revolution,Orlando City SC,2,1
Columbus Crew,CF Montréal,2,1
DC United,FC Cincinnati,4,2
Colorado Rapids,Toronto FC,0,0
Minnesota United FC,Houston Dynamo FC,2,0
New York City FC,New York Red Bulls,0,1
San Jose Earthquakes,LAFC,2,0
Vancouver Whitecaps,FC Dallas,1,0
Portland Timbers,Real Salt Lake,6,1
Chicago Fire FC,Nashville SC,0,0
Sporting Kansas City,Seattle Sounders FC,1,2
Austin FC,LA Galaxy,2,0
Atlanta United FC,Inter Miami CF,1,0
Toronto FC,FC Cincinnati,3,2
CF Montréal,New England Revolution,1,4
DC United,Minnesota United FC,3,1
New York Red Bulls,Philadelphia Union,1,1
Chicago Fire FC,New York City FC,2,0
FC Dallas,Sporting Kansas City,1,3
Nashville SC,Orlando City SC,2,2
Colorado Rapids,Austin FC,3,0
Houston Dynamo FC,Vancouver Whitecaps,0,0
Real Salt Lake,LA Galaxy,2,1
LAFC,Portland Timbers,1,2
San Jose Earthquakes,Seattle Sounders FC,1,3
Austin FC,Real Salt Lake,2,1
CF Montréal,Atlanta United FC,2,1
FC Cincinnati,New York Red Bulls,0,1
Orlando City SC,DC United,2,1
FC Dallas,Minnesota United FC,0,0
Vancouver Whitecaps,San Jose Earthquakes,3,0
New York City FC,Nashville SC,0,0
Philadelphia Union,Columbus Crew,3,0
Sporting Kansas City,Houston Dynamo FC,4,2
Toronto FC,Chicago Fire FC,3,1
Portland Timbers,Inter Miami CF,1,0
LA Galaxy,LAFC,1,1
Seattle Sounders FC,Colorado Rapids,3,0
New York Red Bulls,Inter Miami CF,1,0
FC Cincinnati,Philadelphia Union,1,2
Seattle Sounders FC,Vancouver Whitecaps,4,1
Minnesota United FC,Colorado Rapids,1,3
CF Montréal,Philadelphia Union,2,2
LAFC,San Jose Earthquakes,3,1
Columbus Crew,Inter Miami CF,4,0
New England Revolution,Chicago Fire FC,2,2
DC United,Nashville SC,0,0
FC Cincinnati,Orlando City SC,0,1
Toronto FC,Atlanta United FC,0,2
Houston Dynamo FC,Seattle Sounders FC,2,1
Austin FC,Minnesota United FC,0,1
Real Salt Lake,Colorado Rapids,3,1
LA Galaxy,Portland Timbers,2,1
New York Red Bulls,New York City FC,1,0
Vancouver Whitecaps,Sporting Kansas City,2,1
Atlanta United FC,New York City FC,1,1
DC United,New England Revolution,2,3
FC Cincinnati,Chicago Fire FC,3,4
Inter Miami CF,Toronto FC,3,0
Orlando City SC,CF Montréal,1,1
FC Dallas,LAFC,2,3
Minnesota United FC,Philadelphia Union,3,2
Houston Dynamo FC,LA Galaxy,0,3
Nashville SC,Columbus Crew,1,1
Colorado Rapids,Seattle Sounders FC,1,1
Portland Timbers,Vancouver Whitecaps,2,3
San Jose Earthquakes,Austin FC,4,0
Seattle Sounders FC,Sporting Kansas City,1,2
Columbus Crew,New York Red Bulls,1,2
New York City FC,DC United,6,0
Philadelphia Union,Nashville SC,1,0
Toronto FC,CF Montréal,1,1
Chicago Fire FC,Real Salt Lake,1,0
Inter Miami CF,FC Cincinnati,5,1
Minnesota United FC,LAFC,1,1
Colorado Rapids,Portland Timbers,2,0
LA Galaxy,FC Dallas,2,2
San Jose Earthquakes,Vancouver Whitecaps,1,1
Austin FC,Houston Dynamo FC,2,1
Orlando City SC,New England Revolution,2,2
LAFC,Seattle Sounders FC,3,0
New England Revolution,Colorado Rapids,1,0
Atlanta United FC,Inter Miami CF,2,1
Columbus Crew,Orlando City SC,3,2
DC United,New York Red Bulls,1,0
FC Cincinnati,Nashville SC,3,6
New York City FC,Chicago Fire FC,1,0
Toronto FC,Philadelphia Union,2,2
FC Dallas,Real Salt Lake,1,2
Sporting Kansas City,LA Galaxy,2,0
Portland Timbers,San Jose Earthquakes,2,0
Vancouver Whitecaps,Minnesota United FC,2,1
Inter Miami CF,New York City FC,1,3
Real Salt Lake,San Jose Earthquakes,3,4
New York Red Bulls,CF Montréal,1,0
Atlanta United FC,Toronto FC,1,1
DC United,Columbus Crew,1,3
FC Dallas,Austin FC,2,1
Minnesota United FC,Sporting Kansas City,2,1
Houston Dynamo FC,Colorado Rapids,0,1
Orlando City SC,Nashville SC,1,1
Philadelphia Union,FC Cincinnati,2,0
Seattle Sounders FC,LA Galaxy,1,1
LAFC,Vancouver Whitecaps,1,1
CF Montréal,Houston Dynamo FC,2,0
New York Red Bulls,Atlanta United FC,0,0
Austin FC,Sporting Kansas City,3,1
Real Salt Lake,Portland Timbers,1,3
CF Montréal,Orlando City SC,0,2
Columbus Crew,Chicago Fire FC,2,0
FC Cincinnati,Atlanta United FC,1,2
Nashville SC,New York Red Bulls,1,1
New England Revolution,Inter Miami CF,0,1
New York City FC,Philadelphia Union,1,1
Toronto FC,DC United,1,3
Colorado Rapids,LAFC,5,2
LA Galaxy,Minnesota United FC,3,3
Portland Timbers,Austin FC,3,0
San Jose Earthquakes,FC Dallas,1,1
Sporting Kansas City,Real Salt Lake,0,1
Vancouver Whitecaps,Seattle Sounders FC,1,1
